2865	E	AINA	Torino	5
5355	Ds;E;M	UDOGIE	Udinese	5
2739	Ds;E	RECA	Atalanta	5
2289	Ds;E	DALBERT	Cagliari	5
5017	Ds;E	BALLO-TOURE'	Milan	5
142	Ds;E	MARIO RUI	Napoli	5
2208	Ds;E	JAROSZYNSKI	Salernitana	5
2169	Ds;E	RODRIGUEZ R.	Torino	5
4925	Ds;Dc	CARBONI	Cagliari	5
4407	Ds;Dc	IGOR	Fiorentina	5
329	Ds;Dc	RADU	Lazio	5
5479	Ds;Dc	CECCARONI	Venezia	5
5450	Dd;E	STOJANOVIC	Empoli	5
50	Dd;Ds;E	MBAYE	Bologna	5
4433	Dd;Ds;E	ZORTEA	Salernitana	5
2064	Dd;Ds;Dc	VESELI	Salernitana	5
1891	Dd;Dc	CECCHERINI	Verona	5
4329	Dc	NIKOLAOU	Spezia	5
76	Dc	ROMAGNOLI S.	Empoli	5
5323	Dc	MARTINEZ QUARTA	Fiorentina	5
4332	Dc	DEMIRAL	Atalanta	5
294	Dc	RUGANI	Juventus	5
4409	Dc	RRAHMANI	Napoli	5
144	Dc	TONELLI	Sampdoria	5
418	Dc	GOLDANIGA	Sassuolo	5
4412	Dc	RODRIGO BECAO	Udinese	5
2769	Dc	MAGNANI	Verona	5
148	C;T	KRUNIC	Milan	5
264	C;T	BESSA	Verona	5
2117	C;T	KASTANOS	Salernitana	5
556	C	BASELLI	Torino	5
2008	C	LINETTY	Torino	5
5507	C	BUSIO	Venezia	5
5494	A	DI MARIANO	Venezia	5
5496	A	JOHNSEN	Venezia	5
5397	T	KOVALENKO	Spezia	4
2743	Pc	SANTANDER	Bologna	4
2304	Pc	SALCEDO E.	Inter	4
526	M;C	DUNCAN	Fiorentina	4
4459	M;C	ROVELLA	Genoa	4
173	M;C	CAPEZZI	Salernitana	4
5469	M;C	DI TACCHIO	Salernitana	4
560	M;C	OBI	Salernitana	4
2855	M;C	VIEIRA	Sampdoria	4
2825	M;C	BOURABIA	Sassuolo	4
4501	M;C	OBIANG	Sassuolo	4
2144	M;C	COULIBALY M.	Salernitana	4
5499	M;C	HONGLA	Verona	4
2302	M	BEHRAMI	Genoa	4
5491	M	TAUGOURDEAU	Venezia	4
5449	Ds;E	PARISI	Empoli	4
2728	Ds;E	PELLEGRINI LU.	Juventus	4
633	Ds;E	FARES	Lazio	4
244	Dd;E	GHIGLIONE	Genoa	4
5480	Dd;E	EBUEHI	Venezia	4
5481	Dd;E	MAZZOCCHI	Venezia	4
358	Dd;Ds;E	DE SCIGLIO	Juventus	4
15	Dd;Dc	MASIELLO	Genoa	4
45	Dd;Dc	FERRARI A.	Sampdoria	4
2285	Dc	BANI	Genoa	4
118	Dc	RADOVANOVIC	Genoa	4
5464	Dc	BOGDAN	Salernitana	4
660	Dc	GYOMBER	Salernitana	4
4403	Dc	CHABOT	Sampdoria	4
5482	Dc	MODOLO	Venezia	4
4934	Dc	LOVATO	Atalanta	4
557	C;T	BENASSI	Fiorentina	4
5457	C	MALEH	Fiorentina	4
4435	A	COLLEY E.	Spezia	4
1998	A	PJACA	Torino	4
1839	W;A	EDERA	Torino	3
4894	W	HARASLIN	Sassuolo	3
5119	T	SAMARDZIC	Udinese	3
5012	Pc	MURIQI	Lazio	3
4500	Pc	DI CARMINE	Verona	3
4430	Pc	CRISTO	Udinese	3
1871	M;C	DEIOLA	Cagliari	3
4411	M;C	AGOUME	Inter	3
